Sim_num	Dist	MRATE	oriLat	oriLon	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10	Axis11	Axis12	Axis13
10093	18.0378	0.00663976	5.24704	20.8943	3.44054	-1.23449	-1.57643	-3.41722	-2.62019	0.979089	-1.58261	1.00964	-1.01122	-0.282876	-0.737731	0.110277	-0.362941
10126	15.9897	0.00495558	5.6259	16.737	2.25169	-0.168353	-2.47392	-3.49978	-1.41785	2.47187	0.137109	1.12211	-1.97006	-1.46756	0.996475	0.404527	-0.692245
10379	16.9952	0.00551853	7.86144	18.4096	4.67609	-1.78014	-1.01391	-3.32175	-2.7034	0.900103	0.515339	0.0184065	-0.57409	-1.41835	0.414266	-0.25542	-0.233685
10484	14.0182	0.00462172	1.81296	16.0722	1.02663	-2.6016	0.757614	-5.97664	-1.71799	1.66163	0.951312	-0.376043	1.16191	-1.66569	0.739163	0.675561	0.205609
10600	13.3963	0.00766905	1.59784	20.5533	2.86356	-2.07916	-1.00569	-5.34203	-0.10567	1.69046	-0.963633	-0.0557778	-0.746519	-1.98712	1.17492	0.93688	-0.249505
10817	12.6619	0.00801174	2.26325	20.3052	2.41987	-1.46849	-1.5604	-4.78863	-0.71251	0.710246	-1.53683	0.197596	-0.823943	-2.27926	0.399251	0.455044	-0.733216
10920	16.0662	0.00632005	5.19482	19.9265	1.28946	-0.998623	-2.49272	-3.98207	-3.30092	1.20767	-0.303104	1.26845	-0.574132	-0.203517	-0.582029	-0.667022	0.545175
10961	14.9027	0.00523028	4.78432	19.103	2.46086	-1.97893	-1.4732	-3.83688	-1.44431	1.96171	0.814227	0.194157	0.190432	-0.378712	-0.0670201	0.602654	-0.475946
10972	17.3893	0.00846921	4.1095	10.5627	1.74783	-0.983208	0.311613	-3.04013	-2.4319	0.770163	-0.269094	1.01636	0.124697	0.571921	0.244968	-0.330083	-0.886564
11235	17.9496	0.00922696	3.51192	16.655	1.44078	-0.478851	-2.08376	-4.47011	-1.76676	1.97474	-0.346707	0.7357	-0.534249	0.381803	-0.313649	0.737421	-0.576294
11420	15.6674	0.0083374	1.89167	18.9913	2.95321	-1.14232	-0.581944	-3.13236	-1.30948	1.27014	-0.542123	1.86547	-0.703034	-0.0866798	-0.458492	0.0316359	-0.210468
11457	13.1153	0.0060213	3.13968	14.8861	2.7296	-1.5321	0.408944	-3.65572	-3.9313	1.44204	-0.45339	1.59484	-1.45232	0.265695	-0.0341207	0.587812	-0.12459
11470	11.9758	0.00671595	3.09098	17.3139	2.37326	-0.774717	-1.18827	-4.37594	-2.19657	1.38091	-0.489087	0.449618	-0.552927	-0.261623	-0.236407	0.66763	-0.881179
11524	7.28021	0.00322519	4.99512	19.6104	3.16259	-2.62352	1.39625	-5.13743	-2.98772	2.01025	-0.166087	2.15489	-1.91762	-2.52147	0.588072	-0.246872	0.929382
11550	16.4673	0.00597033	2.0915	19.1774	2.89736	-2.60541	-0.657435	-5.29145	-2.99562	0.23186	-1.96177	0.808888	0.0963631	-0.859378	-1.13797	-0.649029	0.401556
11613	11.533	0.00636486	4.08941	19.0679	4.4836	-2.34577	-0.617881	-4.82183	-3.01255	1.49381	-0.050644	1.06488	-0.277723	-1.27695	0.00330838	-0.148646	-0.739441
11856	16.9078	0.00612132	3.16279	20.5495	4.47675	-1.9753	-1.23792	-3.98908	-1.94978	0.641868	-1.7464	0.887528	-0.87726	-1.40418	-0.0199848	0.544822	-0.364636
